TransactionID,CustomerID,TransactionAmount,PaymentType,ProductCategory,Quantity,DeviceType,IPAddress,ShippingAddress,BillingAddress,IsFraudulent,AccountAge,TransactionHour
c4f4151c-272,c91d94bb,989.13,Credit Card,Health,3,Tablet,202.221.15.74,02209 Travis Mountain Apt. 879,45778 David Landing Suite 046,0,131,20
093c20f0-5b5,f7bb7450,627.92,Debit Card,Home,5,Mobile,178.40.245.149,3710 April Rest Suite 583,275 Linda Summit Suite 639,0,73,4
47f04a41-a5d,236d891f,782.97,PayPal,Toys & Games,1,Mobile,56.132.185.210,91592 Roth Gateway Suite 377,628 George Tunnel Apt. 134,0,195,1
90c70b68-cf3,e4eb2351,297.12,Net Banking,Sports,4,Mobile,212.61.168.66,1114 Castaneda Landing Suite 047,234 Patterson Squares Suite 230,0,61,19
263cadb5-eb2,30d27468,90.07,Debit Card,Health,2,Desktop,200.174.103.75,895 Costa Circles Suite 149,369 Richardson Vista Apt. 908,1,369,18
8b5cc919-ade,05a28ddf,785.3,Net Banking,Electronics,1,Mobile,199.18.59.68,6400 Burns Extensions,65264 Pacheco Grove Apt. 277,0,397,2
c8148678-638,39c57902,374.26,PayPal,Home,4,Tablet,146.143.227.100,934 Gutierrez Trafficway,2231 Alex Mission,0,46,16
7ae0c500-173,bf33c644,24.98,Credit Card,Toys & Games,3,Tablet,101.138.106.244,3159 Sheri Crescent,899 Anna Canyon,0,258,9
090a63eb-55e,4e8c11e3,153.76,Credit Card,Electronics,2,Desktop,2.156.247.254,717 Angela Fork Apt. 906,99633 Woods Unions Suite 798,0,63,1
17ec22b6-4b5,ce0bf9c1,266.04,PayPal,Health,4,Mobile,60.22.74.126,2095 Ryan Rapid Suite 383,94741 Lawrence Burg,0,105,20
af444606-eeb,85d3be2c,644.89,PayPal,Home,1,Tablet,35.146.165.8,67519 Donna Extensions Suite 954,4384 Liu Mountain,0,207,16
77a3233c-a11,0903500a,85.36,PayPal,Electronics,4,Tablet,190.146.114.239,751 Jeremy Crescent,53286 Amy Drives Suite 997,0,216,8
ab35bc1d-740,71478f71,768.93,Debit Card,Clothing,5,Tablet,106.245.182.138,0955 Vanessa Divide,91816 Howard Hills Suite 754,0,197,10
3bdc38cd-0a1,9b10f5af,770.11,Credit Card,Sports,4,Mobile,9.103.200.182,7170 Johnson Isle Apt. 489,5916 Ashley Junction,0,21,14
cb082758-9d0,9b7dd712,291.08,Net Banking,Clothing,3,Tablet,27.206.253.17,19213 Brittany Place Apt. 939,222 Roger Views,0,81,5
8eafb13e-669,2cebd8bf,40.51,PayPal,Sports,3,Mobile,10.238.166.197,179 Carlos Island,10859 Christina Falls,0,318,19
5d811aed-434,be51f166,51.53,PayPal,Health,4,Desktop,171.134.245.22,562 Aaron Drive Apt. 055,109 Perez Path,0,185,19
17503d96-dd8,cb30a7da,241.01,Credit Card,Electronics,4,Desktop,44.243.200.222,8737 Berg Rapid Suite 590,937 Turner Village Apt. 815,0,50,2
91aed994-de7,43ff6728,448.36,Net Banking,Health,2,Desktop,102.216.252.238,1880 Richards Lights,967 Stephen Trail,0,167,21
a09a39b9-d80,79b90090,366.1,Net Banking,Sports,3,Desktop,44.212.110.152,98341 Harding Point,0263 Christina Shore,0,39,20
3ebf9b4a-cff,f30bdce1,837.3,Credit Card,Clothing,3,Mobile,179.58.229.130,8352 Joe Lock,425 Jonathan Meadow,0,148,17
a0bde36b-d3d,683b1881,853.43,Credit Card,Toys & Games,1,Mobile,96.69.8.57,52375 Lewis Trail,844 Raymond Corner Apt. 307,0,214,5
e3b32b17-771,ef00aef5,293.78,Credit Card,Health,2,Mobile,51.29.78.235,639 Perez Track,4859 Juan Causeway,0,344,0
a4e6cb7f-97a,eba0b431,639.14,Debit Card,Health,4,Mobile,40.119.201.171,947 Woods Walks,625 Coleman Valley,0,325,16
2853d88a-035,080c0a78,106.39,Net Banking,Home,4,Tablet,26.199.15.220,09403 Charles Fort Suite 483,06320 Sean Forks Apt. 307,0,52,13
d87bef78-076,6e193842,445.93,Credit Card,Electronics,1,Tablet,143.246.164.74,27056 Morse Stream,29190 James Canyon,0,96,6
70979dc2-3d3,7cdebe06,761.35,Debit Card,Health,3,Mobile,178.85.102.24,73138 Lucas Cliffs Suite 570,342 Kristen Points Suite 291,0,146,15
724e9e88-ef1,d9ddb740,317.73,PayPal,Electronics,1,Mobile,5.13.146.211,6340 Alicia Lane Suite 828,214 Bradley Plains Suite 822,0,235,19
c20ddc35-c03,50582fa9,283.38,Credit Card,Health,3,Desktop,186.56.51.105,69449 Jim Place Suite 539,61446 Eric Passage,0,7,21
350a05c0-4b5,90f42091,15.87,PayPal,Electronics,2,Desktop,136.182.58.93,8084 Mayo Place,364 Hunter Mount Suite 359,0,344,11
7b05d9b7-8c0,f8dd977d,644.58,Credit Card,Home,4,Tablet,28.78.181.71,596 Wolfe Branch,7143 Bray View Suite 010,1,195,23
13753baa-926,1709d17a,637.45,Net Banking,Toys & Games,1,Tablet,29.222.154.146,03813 Ian Mills,881 Brown Way Apt. 929,0,109,14
7c02830b-69f,eb3fd52a,635.68,Net Banking,Sports,5,Desktop,73.173.234.119,163 Edward Turnpike,39641 Ryan Points Suite 148,0,241,3
00191386-84e,9037cf86,353.25,Credit Card,Health,1,Tablet,47.184.237.249,45448 David Plains,18757 Austin Square,0,223,1
2e9f5929-d56,a1421706,958.03,PayPal,Electronics,2,Desktop,163.123.26.28,932 Greg Club Suite 121,660 Gary Street,0,71,21
03847042-6d7,8c155f2e,463.57,PayPal,Health,4,Desktop,87.15.252.121,348 Christensen Walks Suite 958,680 Newton Rue,0,146,14
d9407e4a-66f,e388f341,110.47,Debit Card,Health,3,Mobile,70.135.200.176,5714 Jones Course Apt. 406,94791 Lutz Court Apt. 500,1,273,10
6d41120b-304,1c2cecb8,888.28,PayPal,Toys & Games,3,Mobile,170.198.158.173,0266 Nixon Ports,28868 Caroline Glen Suite 718,0,313,18
775d4c7a-e83,dd59edef,663.11,Net Banking,Electronics,1,Mobile,152.230.155.2,7111 Scott Park,917 Mays Squares Suite 990,0,396,2
ff3d6d0e-d0b,b2f1c699,817.59,PayPal,Toys & Games,2,Desktop,12.64.71.5,0485 Pierce Streets,346 Francis Plain Apt. 217,0,75,19
95da760d-6a1,396e1539,683.9,PayPal,Health,5,Desktop,38.75.112.247,9389 Hicks Isle Apt. 521,0056 Hayden Mountains,0,2,5
9eaedec5-49b,0f7ac5c7,343.39,Credit Card,Electronics,2,Desktop,40.179.137.165,72754 Ashley Skyway,2046 Norman Plains Apt. 486,0,274,15
599b7c94-6cf,0c06c12d,566.36,Net Banking,Electronics,1,Tablet,180.163.20.15,5868 Tara Knolls,595 Thomas Stream Suite 509,0,161,13
8069724e-f97,14e541d7,377.18,Net Banking,Clothing,1,Tablet,158.174.240.74,03372 Jones Ridges,679 Nelson Causeway Apt. 967,0,155,3
a1c41615-baa,c0cba626,446.44,PayPal,Electronics,5,Mobile,178.153.178.86,793 Sparks Via Suite 699,9592 Green Points Suite 158,0,27,8
dce76ac2-bb1,5755635e,705.36,Net Banking,Electronics,3,Mobile,177.67.120.35,4890 Mann Loop Apt. 572,6926 Jimenez Parkways Apt. 619,0,373,1
8615954e-cb1,ffca8780,763.29,Credit Card,Toys & Games,3,Tablet,183.212.247.192,987 Destiny Mill Apt. 160,176 Ryan Shores,0,156,5
0c21f7ba-f32,63b34116,936.83,Net Banking,Toys & Games,4,Mobile,142.153.66.34,511 Kim Row Apt. 157,15272 Sonia Crossroad Suite 221,0,344,4
c9a73c27-eca,c7dd268d,220.49,PayPal,Electronics,2,Tablet,208.139.138.218,70342 Chavez Ports,8654 Donald Spring Apt. 425,0,216,1
7c75882c-0bd,aa3f73a1,214.47,Credit Card,Home,3,Desktop,160.4.227.249,93912 Banks Squares,42289 Cole Garden,0,92,12
9a63dd9a-1ca,7c7e552e,579.6,PayPal,Toys & Games,2,Desktop,34.134.196.214,59855 Laura Divide,4501 Julian Fields,0,222,21
47841f61-eac,5da14a8b,984.6,PayPal,Home,2,Desktop,151.148.110.200,1824 Timothy Crest Suite 821,05544 Thomas Parks Apt. 928,0,106,13
406e0c26-e57,a6fcfa3e,598.81,PayPal,Toys & Games,4,Tablet,202.227.198.80,786 Griffin Run Suite 002,77116 Crystal Trail Suite 826,0,14,19
a160095c-036,f52ee7c8,778.55,Debit Card,Health,5,Desktop,191.203.8.249,63478 Adrian Court Apt. 993,7577 Linda Mountains,0,4,21
11b2e5c4-09e,9719528d,491.38,PayPal,Health,5,Mobile,185.243.158.73,0553 Joe Flat,2838 Bowers Mills,0,143,4
e7313afc-3e7,a0990e63,193.34,Debit Card,Home,4,Mobile,173.193.146.13,13696 Mary Ford Suite 011,757 Jessica Hollow Apt. 277,0,42,3
6769776a-6b1,40d7b5fc,63.22,PayPal,Home,3,Desktop,58.165.66.52,471 Laura Shoal Apt. 948,99718 Gordon Place,0,201,11
6d85d1a7-931,2f67bdca,972.73,PayPal,Electronics,1,Tablet,161.27.139.77,392 Floyd Ports Apt. 556,6357 Rachel Gateway Apt. 339,0,322,13
068bfaf6-ba4,d6e35519,453.88,Net Banking,Health,3,Desktop,53.211.50.102,47103 Doris Rapids,7847 Reyes Knolls,0,230,6
ae3ebff4-ee0,4949d822,712.44,Debit Card,Toys & Games,3,Tablet,135.28.109.206,0214 Kyle Tunnel Apt. 806,7105 Amy Villages,0,237,5
efd4c721-c92,1c67b503,760.5,PayPal,Toys & Games,5,Mobile,152.115.206.73,2124 Patricia Mill Suite 447,42962 Potts Harbors,0,181,0
d518a9aa-f20,15d24d61,805.98,PayPal,Home,3,Tablet,221.179.141.47,637 Carolyn Well,4403 James Estate Suite 900,0,400,18
ed017f70-7c0,e2a6114b,794.26,PayPal,Toys & Games,3,Desktop,41.117.72.138,5289 Roberson Trafficway,3200 Christopher Pine,0,248,15
965dd0c2-c9f,ac2ea18d,368.67,Debit Card,Toys & Games,1,Tablet,4.183.76.130,11681 Hernandez Turnpike,90238 Spencer Field Suite 689,1,116,2
043d2c2b-a1f,7d8d156f,862.05,Net Banking,Home,4,Mobile,120.250.94.114,12699 Angel Estates Suite 180,902 Patricia Walk Suite 062,0,136,4
a446415e-dea,68a412c4,831.12,Net Banking,Home,3,Desktop,213.105.106.225,576 David Field Apt. 463,26946 Stephanie Station Apt. 210,1,145,21
3ed49cbc-2cc,3851a77f,632.12,Net Banking,Toys & Games,2,Tablet,25.250.248.94,318 Mary Estate,0548 Hughes Parkway,0,298,0
61b4022d-f3c,4909a289,344.91,Debit Card,Health,1,Tablet,130.65.250.196,447 Jocelyn Street Suite 891,0589 Jacqueline Plains,0,120,7
6168d4e2-039,149b1998,80.38,PayPal,Home,2,Mobile,85.196.35.113,824 Dennis Court,19817 Michael Lock Apt. 700,0,108,23
a5a3ae71-cf5,46026fe9,871.88,Credit Card,Health,3,Desktop,25.82.252.56,312 Tiffany Crossing Apt. 913,037 Hart Crescent Suite 256,0,146,23
2cbdc582-cb3,b82bb103,413.42,PayPal,Toys & Games,1,Tablet,180.96.78.156,1373 Smith Crescent,64124 Kenneth Neck,0,22,5
9b055675-15b,1b0dcaad,521.86,Net Banking,Health,4,Tablet,191.133.38.227,399 Jonathan Cape Apt. 998,988 Douglas Orchard Apt. 272,0,174,17
fd7f58ac-ba2,31bb0928,476.27,Net Banking,Electronics,3,Desktop,31.229.143.215,25024 Mcdonald Mountains,1392 Daniels Manor Apt. 248,0,209,3
0fa3ffb7-a1f,ebadac92,784.41,Credit Card,Sports,3,Desktop,130.207.241.240,2644 Allen Hills,918 Matthew Canyon Apt. 799,0,79,0
208e4da1-316,e26b359d,412.9,Credit Card,Sports,5,Desktop,173.37.170.129,06627 Michael Lodge Suite 028,1995 Harper Divide Apt. 093,0,41,8
5992ab6a-d49,0a482783,383.1,PayPal,Clothing,5,Tablet,44.156.91.197,7434 Laura Cove,30494 Thomas Ville Apt. 359,0,193,1
6ec1c3d7-f33,44828330,968.02,PayPal,Clothing,5,Tablet,106.38.201.114,778 Collins Mountains,834 Black Roads Apt. 236,0,326,16
77d7e94b-a6d,0c31b735,590.88,Net Banking,Sports,1,Mobile,11.121.20.238,3530 Jeremy Lake,834 Henry Turnpike Apt. 256,0,325,22
09237336-e73,23473052,382.79,Credit Card,Sports,5,Desktop,177.7.43.1,0607 Jacqueline Passage,0786 Williams Burg,0,382,20
8c915197-a32,0de9d417,179.02,Net Banking,Clothing,4,Desktop,11.218.45.84,9972 Levy Field,8777 Stewart Road,0,72,16
6f2e16cc-6ab,0bc0f3b6,937.28,PayPal,Toys & Games,4,Tablet,110.32.213.246,76451 Huber Village,552 Joan Prairie Suite 310,0,153,9
2b4df185-288,d0bf7663,219.32,PayPal,Sports,1,Desktop,10.137.144.162,866 Graham Isle,42774 Klein Villages,0,295,15
2b2c9739-c32,e511e4d2,450.47,Debit Card,Home,2,Tablet,90.48.92.131,902 Amber Loop Suite 395,27593 Alejandra Lodge Suite 031,0,231,3
24a4a946-a57,30b56d8b,423.55,PayPal,Health,2,Tablet,201.28.11.28,5442 Pratt Divide,777 Stephen Spring Suite 058,0,76,6
603178e7-617,b3231ea6,708.15,Debit Card,Home,1,Tablet,48.245.36.26,27961 Freeman Roads Apt. 719,77086 Jody Prairie,0,325,6
810e8f3e-b7f,367baa8b,124.04,PayPal,Sports,2,Mobile,33.171.113.30,11188 Brian Alley,314 Deborah Turnpike,1,193,3
e36dbbea-1c7,df7b90a6,56.23,Debit Card,Home,4,Mobile,88.160.143.69,9320 Jennifer Common,167 Kaiser Ports Apt. 062,0,12,8
71c40323-799,85bd2b7e,436.0,Debit Card,Clothing,3,Tablet,27.198.101.173,72319 Jerry Cove Apt. 664,37871 Reynolds Radial,0,217,0
999f007c-dbd,cd3996d4,815.96,Net Banking,Toys & Games,2,Mobile,184.254.11.166,648 Tara River,298 Jennifer Centers,0,155,19
c2d41d56-616,e65e5366,334.36,Debit Card,Home,4,Tablet,222.198.59.178,3902 Powell Hollow Apt. 312,086 Hanson Forges,0,346,3
7d104ad0-8bc,d484dccb,379.26,Credit Card,Home,5,Desktop,106.30.45.249,0612 Sarah Fords,13986 Dean Field,0,72,3
7c827f03-28b,92a68f1b,171.8,Debit Card,Home,5,Desktop,61.176.79.110,78151 Mike Walks Suite 090,35407 Isabella Causeway Apt. 787,0,364,8
3c36fed1-cc9,2084b9ff,85.96,Debit Card,Clothing,5,Tablet,199.5.61.78,614 William Stravenue,994 Haynes Knoll,0,64,1
31bea53d-14e,fa4c3227,182.45,PayPal,Home,4,Mobile,7.24.151.174,2891 Lindsay Expressway Suite 470,2304 Brooks Harbors,0,90,12
da880757-ad0,5d5d550c,972.13,PayPal,Sports,3,Mobile,75.132.74.25,476 Crystal Fields,694 Sellers Ferry,0,320,23
1541e24d-436,95306c3c,299.69,Credit Card,Clothing,5,Mobile,154.172.232.153,7062 Hunter Tunnel Apt. 320,974 Michael Route Apt. 182,0,142,18
78c12fa2-89c,88a8cb64,82.91,PayPal,Home,5,Desktop,205.226.12.7,15258 Davis Via Apt. 359,7719 George Estate Suite 509,0,63,6
25644a96-c58,780cc088,356.82,PayPal,Toys & Games,1,Desktop,115.200.230.10,985 Amanda Place Suite 896,1332 George Rapid Suite 613,0,286,15
0c2c6ca0-172,4bc62079,11.67,Net Banking,Toys & Games,4,Tablet,79.143.83.247,022 Lauren Course Suite 552,4154 Garcia Square Apt. 151,0,199,13
49cd43fa-355,00384fe9,975.53,Net Banking,Health,5,Tablet,59.26.69.0,4690 Chavez Circles Suite 996,21709 Watson Expressway Apt. 640,0,226,5
4903a5ca-28a,8457de7a,112.04,Credit Card,Electronics,5,Tablet,111.38.116.15,6637 Cox Roads Apt. 367,53439 Taylor Squares,0,221,14
20d6267a-6af,100ee005,447.5,Debit Card,Electronics,2,Mobile,164.231.109.15,782 Christy Parks,082 Jacob Street,0,82,17
84ce9c3e-6c2,1ecad122,865.08,PayPal,Electronics,5,Mobile,96.236.47.93,0531 Dustin Forks,890 Lisa Manor Suite 864,0,290,0
7623f1a2-b47,a4432d80,403.76,Credit Card,Electronics,3,Tablet,151.126.178.173,537 Kaufman Mission Apt. 218,4226 Adams Highway Suite 434,0,101,15
dcbf4201-640,72559446,569.75,Debit Card,Clothing,1,Tablet,40.120.84.18,111 Crawford Villages,1777 Escobar Keys,0,109,1
eee9c5b1-3d2,da5e733d,166.95,PayPal,Toys & Games,1,Desktop,126.111.245.81,35227 Ralph Burgs,8134 Lane Highway Suite 988,0,28,4
4446ee56-6d8,b74e275a,394.61,Credit Card,Toys & Games,2,Desktop,216.190.103.238,3600 Armstrong Extensions,58093 Elizabeth Walks Suite 128,0,329,5
79023b90-f8f,1931485c,625.75,Credit Card,Health,2,Desktop,62.136.255.193,7831 Stacey Terrace,7068 Andrea Light,0,44,23
4a5622e7-6db,5ae79e61,887.8,Debit Card,Electronics,5,Mobile,16.149.136.204,50834 Ashley Heights Apt. 039,697 Watson Lakes Apt. 207,0,37,11
4e321737-97f,8d98eae3,337.62,Debit Card,Health,1,Desktop,141.247.199.100,6200 Charles Turnpike Suite 848,8527 Albert Union Suite 060,0,225,1
e3ccaa3e-d7a,50963c76,33.24,Credit Card,Sports,2,Mobile,61.225.75.156,311 Morris Streets,910 Thomas Plains Apt. 478,0,117,17
821e0a09-549,784e4ff9,317.5,Credit Card,Clothing,2,Desktop,90.217.8.181,20389 Monica Flat Suite 200,0795 Amanda Summit,0,137,10
92d7d470-50d,f34e04f1,648.13,PayPal,Home,1,Tablet,24.130.89.253,16415 Johnson Squares Apt. 743,68566 Jeffery Harbor,0,110,20
3efe0444-5da,c61dd0de,790.06,Credit Card,Home,1,Desktop,69.14.158.15,8511 Jacobs Radial,4575 Marie Ports,0,213,0
9bfe2c39-d2f,bb45b4eb,760.22,Debit Card,Sports,4,Desktop,56.68.231.43,359 Natalie Brooks Apt. 565,803 Cody Rue Suite 405,0,64,10
333c6429-5fa,67fbd10b,415.07,Credit Card,Clothing,5,Mobile,105.31.111.9,462 Belinda Club,468 Henderson Fork,0,160,14
74583065-e9c,7a867e14,165.02,Debit Card,Toys & Games,2,Tablet,171.103.64.249,67599 Clayton Union Apt. 082,6882 Snyder Trail,1,195,14
e9fe6194-2d5,df9e3897,777.54,PayPal,Electronics,3,Mobile,131.126.60.16,781 Michael Union,8248 Mckinney Crest Suite 988,0,254,7
14fd9fec-ea3,d9fc6926,170.8,Debit Card,Home,1,Tablet,80.21.211.45,72134 Reyes Road Apt. 403,180 Holland Crossroad Apt. 952,0,175,13
a1f387a1-d32,15a30ac8,367.84,Credit Card,Toys & Games,3,Tablet,209.241.232.114,11908 Joshua Stravenue Apt. 893,98676 Teresa Spurs,0,320,15
2fc9651b-6d6,910eb37f,774.23,Credit Card,Sports,4,Tablet,163.219.220.163,6546 Allison Heights Suite 931,1850 Bolton Well,0,207,1
778988fa-db8,14a23377,909.88,Debit Card,Home,3,Tablet,148.181.121.51,4196 Mcguire Orchard,946 Aaron Spur,0,345,5
b89f4bcf-31c,288323db,856.37,Debit Card,Sports,1,Mobile,21.238.148.164,2056 Robert Spur,2147 Brenda Common Suite 647,0,299,22
8a99c26f-6d0,9ac94973,522.98,Net Banking,Toys & Games,5,Mobile,17.85.11.254,06880 Mckee Canyon,494 Emily Gardens Suite 069,0,124,22
83534220-66d,c3df9b47,167.13,Credit Card,Clothing,1,Desktop,165.140.159.207,489 Simmons Square Suite 949,485 Teresa Parkway Suite 919,0,376,7
cfc3ec88-7f4,c300aa8f,857.31,PayPal,Health,5,Tablet,132.55.240.172,798 Monica Cove Suite 308,59737 Lambert Keys Apt. 514,0,176,18
7005445f-a66,737994a6,119.72,Credit Card,Clothing,5,Tablet,96.71.195.245,83188 Brandon Forge,10435 Wallace Circle,0,236,10
5015c559-4e6,6c1d33e1,800.53,Credit Card,Health,3,Mobile,126.104.117.234,1084 Edwards Inlet,793 Taylor Fort Apt. 200,0,146,3
04cdf572-662,ef48eae9,443.44,PayPal,Sports,3,Desktop,180.196.86.134,2901 Amy Landing Apt. 833,0250 Williamson Extension,0,358,5
7c4f2dae-a37,bd1ca2eb,935.42,Debit Card,Electronics,5,Desktop,155.134.93.165,63832 Anthony Estate Suite 960,0056 Sarah Street,0,245,19
bf9292cd-cb3,5dbd4b0a,814.86,Credit Card,Sports,3,Mobile,46.199.115.116,0977 Michael Extensions,160 Woods Knoll,1,134,7
e8b46916-1f4,2b52e5e4,148.39,PayPal,Health,3,Desktop,82.116.204.86,7394 Andrew Summit,16354 Neal Harbor,0,232,16
26ebdce9-fc4,76b3e82b,82.74,PayPal,Home,3,Mobile,74.72.40.19,953 Herring Villages Suite 141,008 Scott Islands,0,213,11
8f87a96b-2e4,0d311bf3,21.14,Credit Card,Clothing,4,Mobile,196.241.236.218,067 Parker Well Apt. 527,0417 Morgan Mountains Apt. 913,0,174,15
53560429-ca9,cc124c9e,961.55,PayPal,Clothing,1,Desktop,122.11.209.41,675 Patrick Spurs Apt. 326,07244 Jones Common Suite 308,0,351,4
b22c948e-1d8,80333dcb,998.17,Net Banking,Health,2,Tablet,180.85.89.52,53562 Cassidy Spur Suite 766,6977 Branch Spur Suite 869,0,303,10
2d5bd00d-0f3,d0ff8c4f,823.37,Credit Card,Electronics,2,Mobile,99.105.4.188,006 Hannah Village,89679 Sarah Crescent,0,342,16
41a902d9-144,88fbdb60,55.08,Net Banking,Toys & Games,2,Mobile,68.176.21.66,81266 Jones Extension Suite 880,794 John Path,0,247,4
4afab5f3-9cc,7a4fab5b,948.89,Debit Card,Health,4,Mobile,96.7.243.104,10345 Douglas Groves,307 David Fords Apt. 223,0,28,12
7fc78ccb-c7e,d2cb8ab5,777.79,Debit Card,Health,4,Tablet,151.55.211.139,553 Ibarra Crossroad,1355 Ryan Walk,0,255,0
31652b1c-449,ca60bbfd,926.22,Debit Card,Health,2,Tablet,198.10.229.36,221 Michael Islands Suite 663,22725 Zimmerman Points Suite 443,0,116,10
af3b5da2-738,c027b470,641.82,PayPal,Home,5,Desktop,66.9.47.39,2190 Jimenez Squares,107 Gordon Court,0,68,9
c4ee67c4-dae,7145a311,921.36,Net Banking,Electronics,1,Tablet,138.15.174.227,56272 Williamson Skyway Apt. 260,17893 Jason Mountain,0,258,11
327af278-d31,7e1adfd0,409.11,Credit Card,Electronics,1,Tablet,47.156.111.131,17239 Shane Glens Apt. 470,185 Daniel Port Suite 352,0,146,14
0667a91a-977,aceea85f,403.11,Net Banking,Home,5,Desktop,221.128.154.191,42438 Taylor Passage Apt. 132,5443 Charles Turnpike,0,110,1
3568c8e2-410,b8a8d252,327.45,Net Banking,Sports,4,Mobile,179.112.240.253,3254 Wells Ville Apt. 807,76765 Ann Estates,0,187,14
0535f679-847,24f42bb4,840.08,Credit Card,Toys & Games,1,Tablet,84.154.31.176,626 Taylor Meadows,7964 Patrick Views,0,89,8
bfc03c14-6a1,b60446a3,964.56,Debit Card,Toys & Games,1,Desktop,169.103.225.112,265 Wong Mill Apt. 010,1536 Daniel Landing,0,260,6
6d0812f3-782,0d1a209f,724.81,PayPal,Sports,3,Desktop,147.162.174.144,780 Kim Mall,309 Jennifer Knoll,0,372,10
aaf208ce-618,1442ff33,707.32,PayPal,Toys & Games,5,Tablet,119.50.200.71,86499 Beth Trail,72678 Chris Mountain Suite 487,0,1,1
f47ea5b1-874,f791c84e,423.97,Net Banking,Clothing,4,Desktop,67.159.126.165,09695 Fisher Roads Suite 298,10348 Wright Courts,0,274,3
4fed7cf5-33c,e1cf9b64,647.76,Debit Card,Clothing,4,Tablet,162.69.159.177,14701 Olivia Ridge,1772 Hurley Lakes Suite 161,0,34,0
abf036ad-fbd,aff257a5,870.79,Debit Card,Sports,5,Desktop,209.208.140.103,854 Brown Street,98266 Alvarado Forge Apt. 359,0,80,3
6282a1ff-25e,44a36e8e,432.24,Net Banking,Home,4,Mobile,119.100.198.4,3235 Ford Parks,087 Rojas Locks Apt. 407,0,303,5
b88f45ab-cdb,9bdf7128,911.37,PayPal,Health,4,Tablet,92.72.202.135,121 Charles Locks,59010 Holmes Drives,0,144,7
184cf0c3-3c9,0505ff68,518.68,Debit Card,Home,4,Mobile,82.46.37.174,14987 Marissa Ports,518 Jessica Squares Apt. 652,1,196,7
d8a1ef6d-62c,6ec07e64,460.18,Net Banking,Sports,1,Desktop,94.233.84.122,91186 Michelle Extension,182 Jackson Villages,0,196,18
ea6bffa0-8c7,a291107c,324.85,Debit Card,Clothing,1,Mobile,139.178.236.160,11904 Mccann Mission Suite 812,0325 Kathleen Field Apt. 561,0,81,0
d70d10ab-8be,bcb1cfe7,238.62,Debit Card,Clothing,5,Mobile,206.124.68.11,569 Rodriguez Plain Suite 608,39045 Kent Heights,0,29,9
70fcec70-ad2,446c75ab,487.57,PayPal,Home,1,Desktop,91.85.96.248,601 Grimes Lakes,2308 Steven Ports,0,223,17
62b599cf-856,584c016a,135.3,Net Banking,Home,5,Mobile,81.28.139.70,83345 Nelson Ford Apt. 421,5970 Reed Lake,0,203,2
eb9233fa-67c,a7ff9b77,884.92,PayPal,Home,3,Tablet,14.140.229.184,50500 John Forest,581 Donald Crossing Apt. 279,0,14,3
f22993f4-203,05518dbf,145.68,Net Banking,Health,4,Desktop,5.75.169.157,0930 Susan Crescent Apt. 981,760 Dana Parkway,0,182,18
d3db4323-f1e,591870f7,980.87,Net Banking,Toys & Games,1,Mobile,26.25.181.6,072 Wendy Forks Suite 181,781 Ashley Ferry Apt. 579,0,362,19
